Text : 212-555-9371 (212-555-9371),212-555-9371 (212-555-9371) - txtForward <noreply,email@somewhere.com,12/19/2014 5:00,,"Subject:
Text : 212-555-9371 (212-555-9371)
From:
212-555-9371 (212-555-9371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:00
To:
email@somewhere.com
You sent a text message to 212-555-9371 (212-555-9371)
    That then I lost for thee, now grant me justice."
Text : name (+12125559371),name (+12125559371) - txtForward <noreply@txtForwa,email@somewhere.com,12/19/2014 5:01,,"Subject:
Text : name (+12125559371)
From:
name (+12125559371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:01
To:
email@somewhere.com
You received a text message from name (+12125559371)
ANGELO"
Text : 212-555-9371 (212-555-9371),212-555-9371 (212-555-9371) - txtForward <noreply,email@somewhere.com,12/19/2014 5:02,,"Subject:
Text : 212-555-9371 (212-555-9371)
From:
212-555-9371 (212-555-9371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:02
To:
email@somewhere.com
You sent a text message to 212-555-9371 (212-555-9371)
    ANTIPHOLUS"
Text : name (+12125559371),name (+12125559371) - txtForward <noreply@txtForwa,email@somewhere.com,12/19/2014 5:03,,"Subject:
Text : name (+12125559371)
From:
name (+12125559371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:03
To:
email@somewhere.com
You received a text message from name (+12125559371)
    Nay, master, both in mind and in my shape."
Text : 212-555-9371 (212-555-9371),212-555-9371 (212-555-9371) - txtForward <noreply,email@somewhere.com,12/19/2014 5:04,,"Subject:
Text : 212-555-9371 (212-555-9371)
From:
212-555-9371 (212-555-9371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:04
To:
email@somewhere.com
You sent a text message to 212-555-9371 (212-555-9371)
    I see we still did meet each other's man,"
Text : name (+12125559371),name (+12125559371) - txtForward <noreply@txtForwa,email@somewhere.com,12/19/2014 5:05,,"Subject:
Text : name (+12125559371)
From:
name (+12125559371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:05
To:
email@somewhere.com
You received a text message from name (+12125559371)
    There is something in the wind, that we cannot get in."
Text : 212-555-9371 (212-555-9371),212-555-9371 (212-555-9371) - txtForward <noreply,email@somewhere.com,12/19/2014 5:06,,"Subject:
Text : 212-555-9371 (212-555-9371)
From:
212-555-9371 (212-555-9371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:06
To:
email@somewhere.com
You sent a text message to 212-555-9371 (212-555-9371)
LUCIANA"
Text : name (+12125559371),name (+12125559371) - txtForward <noreply@txtForwa,email@somewhere.com,12/19/2014 5:07,,"Subject:
Text : name (+12125559371)
From:
name (+12125559371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:07
To:
email@somewhere.com
You received a text message from name (+12125559371)
    Why at this time the doors are made against you."
Text : 212-555-9371 (212-555-9371),212-555-9371 (212-555-9371) - txtForward <noreply,email@somewhere.com,12/19/2014 5:08,,"Subject:
Text : 212-555-9371 (212-555-9371)
From:
212-555-9371 (212-555-9371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:08
To:
email@somewhere.com
You sent a text message to 212-555-9371 (212-555-9371)
    I'll serve you, sir, five hundred at the rate."
Text : name (+12125559371),name (+12125559371) - txtForward <noreply@txtForwa,email@somewhere.com,12/19/2014 5:09,,"Subject:
Text : name (+12125559371)
From:
name (+12125559371) - txtForward <noreply@txtForward.com>
Date:
12/19/2014 5:09
To:
email@somewhere.com
You received a text message from name (+12125559371)
    But, lest myself be guilty to self-wrong,"
